source,date,dataType,dataName,comparisonPreDay,comparisonPreDeclare,comparisonPreSpread
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,岡山県_岡山駅周辺,1.1,-18.4,-41.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,広島県_広島駅周辺,-1.8,-9.6,-24.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,山口県_下関駅周辺,-1.3,-4.9,-36
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,徳島県_徳島駅周辺,0.1,-15.5,-26.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,香川県_高松丸亀町周辺,0.3,-15.6,-38.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,愛媛県_松山駅周辺,-5.7,-10.7,-21.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,高知県_はりまや橋周辺,-3.6,-15.6,-39
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,福岡県_天神駅周辺,-4.1,-6.6,-57.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,佐賀県_佐賀駅周辺,-6.4,-13.5,-22.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,長崎県_長崎駅周辺,-6.5,-22.3,-43.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,熊本県_通町筋駅周辺,-3.5,-15.9,-34.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,大分県_大分駅周辺,2.1,-15.8,-34.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,宮崎県_宮崎駅前周辺,-0.1,-3.1,-14.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,鹿児島県_天文館通駅周辺,-1.6,-11.5,-25.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-21,NA,沖縄県_県庁前駅周辺,-8,-11.7,-23.4
株式会社Agoop,2020-04-22,NA,東京,-9.9,-53.1,-75.7
株式会社Agoop,2020-04-22,NA,新橋,-14.7,-48.2,-76.3
株式会社Agoop,2020-04-22,NA,新宿_（歌舞伎町）,1.7,-45.5,-66.4
株式会社Agoop,2020-04-22,NA,品川,-12.3,-58.4,-77.7
株式会社Agoop,2020-04-22,NA,六本木,-8.5,-37.7,-68.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,北海道_札幌駅周辺,-5.7,-48.1,-52.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,青森県_青森駅周辺,0.8,-7.9,-17.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,岩手県_盛岡駅周辺,-8.5,-23.1,-38.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,宮城県_仙台駅周辺,-3.4,-31.5,-44.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,秋田県_秋田駅周辺,1.9,-23.8,-35.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,山形県_山形駅周辺,0.4,-14.9,-33.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,福島県_福島駅周辺,-1,-18.5,-11.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,茨城県_水戸駅周辺,1.4,-37.2,-44.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,栃木県_宇都宮駅周辺,-7.8,-30,-50.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,群馬県_高崎駅周辺,-2.1,-8.9,-12.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,埼玉県_大宮駅周辺,-3.7,-47.9,-60.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,千葉県_千葉駅周辺,2,-46.2,-56.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,東京都_新宿駅周辺,1.1,-55,-69.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,神奈川県_横浜駅周辺,-3.9,-54.9,-66.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,新潟県_新潟駅周辺,-1.6,-27,-40
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,富山県_富山駅周辺,-5.5,-24.6,-38.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,石川県_金沢駅周辺,-7.7,-38.4,-63.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,福井県_福井駅周辺,2,-22.7,-51.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,山梨県_甲府駅周辺,-6.7,-20.5,-22.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,長野県_長野駅周辺,2.8,-37.2,-47.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,岐阜県_岐阜駅周辺,4.3,-19.2,-40.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,静岡県_静岡駅周辺,0.8,-27.4,-39
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,愛知県_名古屋駅周辺,-1.3,-47.8,-64.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,三重県_津駅周辺,-1.3,-26.4,-38.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,滋賀県_大津駅周辺,7,-13.3,-14.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,京都府_京都駅周辺,11.1,-44.2,-63.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,大阪府_梅田駅周辺,0.4,-58.3,-74.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,兵庫県_三ノ宮駅周辺,-0.6,-36.5,-54
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,奈良県_近鉄奈良駅周辺,-5.8,-22.6,-38.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,和歌山県_和歌山駅周辺,1.9,-23.2,-41.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,鳥取県_鳥取駅周辺,-0.9,-16.9,-2.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,島根県_松江駅周辺,-3,-12.1,-37.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,岡山県_岡山駅周辺,-4.3,-26.3,-44.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,広島県_広島駅周辺,-11.9,-34,-33.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,山口県_下関駅周辺,4.8,-11.1,-22.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,徳島県_徳島駅周辺,-3.5,-25.4,-28.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,香川県_高松丸亀町周辺,1.1,-19.7,-37.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,愛媛県_松山駅周辺,4.2,-12,-18.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,高知県_はりまや橋周辺,-6.4,-32,-43
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,福岡県_天神駅周辺,-2.8,-44,-59.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,佐賀県_佐賀駅周辺,6,-9.9,-17.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,長崎県_長崎駅周辺,-1.7,-24.6,-44.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,熊本県_通町筋駅周辺,2.8,-14.5,-33.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,大分県_大分駅周辺,-12.3,-24.2,-42.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,宮崎県_宮崎駅西周辺,-6.1,-12.9,-19.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,鹿児島県_天文館通駅周辺,-1.9,-15.4,-26.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-22,NA,沖縄県_県庁前駅周辺,-3.8,-25.9,-26.4
株式会社Agoop,2020-04-23,11,すすきの駅,-10.1,-34.6,-54
株式会社Agoop,2020-04-23,11,大通駅,-4.9,-34.7,-47.9
株式会社Agoop,2020-04-23,11,勾当台公園駅（国分町）,-1.4,-26.7,-33.2
株式会社Agoop,2020-04-23,12,渋谷駅,-0.1,-36.8,-69.9
株式会社Agoop,2020-04-23,12,渋谷センター街,10.6,-51.9,-79.2
株式会社Agoop,2020-04-23,12,原宿駅,-12.3,-52.4,-72.5
株式会社Agoop,2020-04-23,12,新宿　歌舞伎町,-2,-39,-62.4
株式会社Agoop,2020-04-23,12,池袋駅,-4.3,-41.6,-61.6
株式会社Agoop,2020-04-23,12,東京駅,-12,-55.3,-76.9
株式会社Agoop,2020-04-23,12,新橋駅,1.9,-44.7,-74.7
株式会社Agoop,2020-04-23,12,品川駅,-3.2,-57.9,-77.5
株式会社Agoop,2020-04-23,12,上野駅,-20.8,-37.4,-66.7
株式会社Agoop,2020-04-23,12,銀座駅,-1.2,-58.4,-77.1
株式会社Agoop,2020-04-23,12,六本木駅,10.1,-28.6,-63.9
株式会社Agoop,2020-04-23,12,吉祥寺駅,1,-35.5,-50
株式会社Agoop,2020-04-23,12,元町・中華街駅,-10.3,-22.4,-34.9
株式会社Agoop,2020-04-23,12,桜木町駅,-1.3,-20.4,-36.7
株式会社Agoop,2020-04-23,13,栄駅,-5.8,-47.7,-62
株式会社Agoop,2020-04-23,13,伏見駅,-6.6,-38.3,-50
株式会社Agoop,2020-04-23,15,河原町駅,-6.5,-52.7,-71
株式会社Agoop,2020-04-23,15,心斎橋駅,11.7,-35.6,-55.4
株式会社Agoop,2020-04-23,15,なんば駅,0.8,-46.8,-67
株式会社Agoop,2020-04-23,15,北新地駅,4.4,-48.8,-69.3
株式会社Agoop,2020-04-23,17,博多駅,-0.9,-45.4,-64
株式会社Agoop,2020-04-23,17,中洲川端駅,-8.4,-35.6,-55.5
株式会社Agoop,2020-04-23,17,牧志駅（国際通り）,-9.7,-6.1,-21
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,11,北海道<br>札幌駅周辺,0.1,-48,-52.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,北海道<br>札幌駅周辺,0.1,-48,-52.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,11,青森県<br>青森駅周辺,-3.5,-11.1,-20.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,11,岩手県<br>盛岡駅北周辺,-3.8,-26.1,-41.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,11,宮城県<br>仙台駅西周辺,-1.5,-32.5,-45.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,11,秋田県<br>秋田駅周辺,0.5,-23.4,-35.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,11,山形県<br>山形駅周辺,-2.8,-17.2,-35.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,11,福島県<br>福島駅周辺周辺,1.8,-17,-10.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,12,茨城県<br>水戸駅周辺,6.9,-32.9,-40.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,茨城県<br>水戸駅周辺,6.9,-32.9,-40.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,12,栃木県<br>宇都宮駅周辺,3.2,-27.8,-49
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,12,群馬県<br>高崎駅西周辺,-3.3,-35.8,-42.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,12,埼玉県<br>大宮駅西周辺,5.3,-45.2,-58.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,埼玉県<br>大宮駅西周辺,5.3,-45.2,-58.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,12,千葉県<br>千葉駅周辺,-2,-47.3,-57.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,千葉県<br>千葉駅周辺,-2,-47.3,-57.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,12,東京都<br>新宿駅周辺,-1.3,-55.5,-69.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,東京都<br>新宿駅周辺,-1.3,-55.5,-69.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,12,神奈川県<br>横浜駅周辺,-0.1,-54.9,-66.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,神奈川県<br>横浜駅周辺,-0.1,-54.9,-66.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,14,新潟県<br>新潟駅周辺,-0.6,-27.5,-40.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,14,富山県<br>富山駅周辺,1.4,-23.5,-37.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,14,石川県<br>金沢駅周辺,2.2,-37.1,-62.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,石川県<br>金沢駅周辺,2.2,-37.1,-62.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,14,福井県<br>福井駅周辺,-4.4,-26.1,-53.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,14,山梨県<br>甲府駅南周辺,1.9,-18.9,-21.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,14,長野県<br>長野駅周辺,-0.6,-37.6,-48.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,13,岐阜県<br>岐阜駅周辺,-11.6,-28.6,-47.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,岐阜県<br>岐阜駅周辺,-11.6,-28.6,-47.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,13,静岡県<br>静岡駅周辺,3.2,-25.1,-37.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,13,愛知県<br>名古屋駅周辺,0.1,-47.7,-64.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,愛知県<br>名古屋駅周辺,0.1,-47.7,-64.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,13,三重県<br>津駅周辺,-0.7,-26.9,-38.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,15,滋賀県<br>大津駅周辺,-8.8,-20.9,-22.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,15,京都府<br>京都駅周辺,-10.1,-49.9,-67.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,京都府<br>京都駅周辺,-10.1,-49.9,-67.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,15,大阪府<br>梅田周辺,0.2,-58.2,-74.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,大阪府<br>梅田周辺,0.2,-58.2,-74.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,15,兵庫県<br>三ノ宮駅周辺,0.2,-36.3,-53.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,兵庫県<br>三ノ宮駅周辺,0.2,-36.3,-53.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,15,奈良県<br>近鉄奈良駅周辺,0.2,-22.5,-38.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,15,和歌山県<br>和歌山駅周辺,1.1,-22.3,-40.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,16,鳥取県<br>鳥取駅周辺,3.7,-13.8,1.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,16,島根県<br>松江駅周辺,7.2,-5.8,-33
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,16,岡山県<br>岡山駅周辺,-4,-29.3,-46.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,16,広島県<br>広島駅周辺,-1.1,-34.8,-34.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,16,山口県<br>下関駅周辺,2.1,-15.7,-41.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,16,徳島県<br>徳島駅周辺,0.2,-25.2,-28.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,16,香川県<br>高松丸亀町周辺,2.6,-17.6,-35.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,16,愛媛県<br>松山駅周辺,-2.1,-13.9,-20
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,16,高知県<br>はりまや橋周辺,8.7,-26,-38
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,17,福岡県<br>天神駅周辺,1.5,-43.2,-58.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,2,福岡県<br>天神駅周辺,1.5,-43.2,-58.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,17,佐賀県<br>佐賀駅周辺,-5.8,-15.1,-22.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,17,長崎県<br>長崎駅周辺,-1.8,-26,-45.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,17,熊本県<br>通町筋周辺,-3.2,-17.2,-35.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,17,大分県<br>大分駅付近周辺,13.1,-14.3,-35
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,17,宮崎県<br>宮崎駅西周辺,2.7,-10.5,-17.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,17,鹿児島県<br>天文館通周辺,-2.6,-17.6,-28.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-23,17,沖縄県<br>県庁前周辺,2.1,-24.3,-24.8
KDDI株式会社,2020-04-23,11,函館駅前周辺,13.1,-11.5,-30
KDDI株式会社,2020-04-23,14,松本駅周辺,19.8,-3.7,-27
KDDI株式会社,2020-04-23,12,浅草雷門周辺,1.7,-29.2,-41.3
KDDI株式会社,2020-04-23,12,鎌倉駅周辺,-7.2,-7.2,-33.5
KDDI株式会社,2020-04-23,13,熱海温泉街周辺,3.3,-8.8,-6.5
KDDI株式会社,2020-04-23,15,京都円山公園周辺,-2.4,-29.3,-38.9
KDDI株式会社,2020-04-23,15,奈良市 大和西大寺周辺,-8.7,-24.5,-35.7
KDDI株式会社,2020-04-23,16,広島市 本通り周辺,-8.5,-37.8,-43.7
KDDI株式会社,2020-04-23,17,長崎市 観光通り周辺,0.8,-2.8,-21.8
株式会社Agoop,2020-04-24,11,すすきの駅,7.2,-28.1,-76.1
株式会社Agoop,2020-04-24,11,大通駅,2.4,-32.4,-74.4
株式会社Agoop,2020-04-24,11,中央弘前駅（鍛冶町）,38.3,-11,-58.3
株式会社Agoop,2020-04-24,12,勾当台公園駅（国分町）,-3.9,-21.5,-66.1
株式会社Agoop,2020-04-24,12,渋谷駅,-1.7,-36.1,-85.6
株式会社Agoop,2020-04-24,12,渋谷センター街,-10.6,-57.2,-91.2
株式会社Agoop,2020-04-24,12,原宿駅,-11.6,-52.4,-87
株式会社Agoop,2020-04-24,12,新宿　歌舞伎町,-17.6,-42.5,-83.2
株式会社Agoop,2020-04-24,12,池袋駅,-8.9,-41.5,-81.8
株式会社Agoop,2020-04-24,12,東京駅,3.9,-50.9,-88
株式会社Agoop,2020-04-24,12,新橋駅,-5.1,-45.2,-88.1
株式会社Agoop,2020-04-24,12,品川駅,-9,-60.1,-89.9
株式会社Agoop,2020-04-24,12,上野駅,-2.8,-33.2,-83.2
株式会社Agoop,2020-04-24,12,銀座駅,-7.2,-54.7,-88.2
株式会社Agoop,2020-04-24,12,六本木駅,-2.4,-30,-83.2
株式会社Agoop,2020-04-24,12,吉祥寺駅,16.9,-21.4,-71.2
株式会社Agoop,2020-04-24,12,元町・中華街駅,-3.2,-21.2,-68.7
株式会社Agoop,2020-04-24,13,桜木町駅,-10.6,-27.5,-72.7
株式会社Agoop,2020-04-24,13,関内駅,0,-29.1,-68.4
株式会社Agoop,2020-04-24,15,栄駅,-1.9,-46.5,-81.6
株式会社Agoop,2020-04-24,15,伏見駅,-0.2,-36,-75.4
株式会社Agoop,2020-04-24,15,河原町駅,-3.1,-52.6,-86.2
株式会社Agoop,2020-04-24,15,心斎橋駅,4.1,-35.4,-78.8
株式会社Agoop,2020-04-24,17,なんば駅,11.5,-42.7,-83.2
株式会社Agoop,2020-04-24,17,北新地駅,-0.6,-49.7,-85.7
株式会社Agoop,2020-04-24,17,八丁堀駅（八丁堀、神屋町）,-7.5,-40.4,-78.4
株式会社Agoop,2020-04-24,17,瓦町駅（常磐町商店街、南新町商店街、田町商店街）,-7.7,-24.2,-69.2
株式会社Agoop,2020-04-24,17,博多駅,1.8,-42.6,-82.1
株式会社Agoop,2020-04-24,17,中洲川端駅,-5.8,-36.7,-79.3
株式会社Agoop,2020-04-24,17,観光通り駅（浜町、銅座町）,-11.9,-16.6,-65.8
株式会社Agoop,2020-04-24,17,牧志駅（国際通り）,-24.5,-18.1,-67.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,11,北海道<br>札幌駅周辺,2.5,-46.7,-51
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,北海道<br>札幌駅周辺,2.5,-46.7,-51
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,11,青森県<br>青森駅周辺,0.5,-10.6,-19.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,11,岩手県<br>盛岡駅北周辺,10.5,-18.3,-35
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,11,宮城県<br>仙台駅西周辺,8.2,-27,-41
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,11,秋田県<br>秋田駅周辺,2.6,-21.4,-33.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,11,山形県<br>山形駅周辺,3.8,-14.1,-33.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,11,福島県<br>福島駅周辺周辺,1.3,-15.9,-9.1
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,12,茨城県<br>水戸駅周辺,-2.2,-34.4,-41.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,茨城県<br>水戸駅周辺,-2.2,-34.4,-41.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,12,栃木県<br>宇都宮駅周辺,3.4,-25.3,-47.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,12,群馬県<br>高崎駅西周辺,2.7,-34.1,-41.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,12,埼玉県<br>大宮駅西周辺,2.5,-43.8,-57.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,埼玉県<br>大宮駅西周辺,2.5,-43.8,-57.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,12,千葉県<br>千葉駅周辺,2.8,-45.8,-56.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,千葉県<br>千葉駅周辺,2.8,-45.8,-56.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,12,東京都<br>新宿駅周辺,4.6,-53.5,-68.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,東京都<br>新宿駅周辺,4.6,-53.5,-68.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,12,神奈川県<br>横浜駅周辺,7.3,-51.7,-63.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,神奈川県<br>横浜駅周辺,7.3,-51.7,-63.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,14,新潟県<br>新潟駅周辺,2,-26,-39.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,14,富山県<br>富山駅周辺,-2.2,-25.2,-38.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,14,石川県<br>金沢駅周辺,-3.2,-39.1,-63.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,石川県<br>金沢駅周辺,-3.2,-39.1,-63.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,14,福井県<br>福井駅周辺,3.7,-23.4,-52
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,14,山梨県<br>甲府駅南周辺,-2.1,-20.6,-22.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,14,長野県<br>長野駅周辺,2.3,-36.1,-47
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,13,岐阜県<br>岐阜駅周辺,13,-19.3,-40.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,岐阜県<br>岐阜駅周辺,13,-19.3,-40.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,13,静岡県<br>静岡駅周辺,0.2,-24.9,-36.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,13,愛知県<br>名古屋駅周辺,2.4,-46.5,-63.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,愛知県<br>名古屋駅周辺,2.4,-46.5,-63.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,13,三重県<br>津駅周辺,-7.6,-32.5,-43.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,15,滋賀県<br>大津駅周辺,0.9,-20.2,-21.5
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,15,京都府<br>京都駅周辺,8.2,-45.7,-64.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,京都府<br>京都駅周辺,8.2,-45.7,-64.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,15,大阪府<br>梅田周辺,6.5,-55.5,-72.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,大阪府<br>梅田周辺,6.5,-55.5,-72.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,15,兵庫県<br>三ノ宮駅周辺,7.1,-31.8,-50.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,兵庫県<br>三ノ宮駅周辺,7.1,-31.8,-50.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,15,奈良県<br>近鉄奈良駅周辺,8.7,-15.8,-32.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,15,和歌山県<br>和歌山駅周辺,0.6,-21.9,-40.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,16,鳥取県<br>晩稲周辺,-8.1,-32.7,-32.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,16,島根県<br>松江駅周辺,7.2,1,-28.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,16,岡山県<br>岡山駅周辺,3.4,-26.9,-44.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,16,広島県<br>広島駅周辺,5.7,-31.1,-30.6
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,16,山口県<br>下関駅周辺,3,-13.2,-39.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,16,徳島県<br>徳島駅周辺,5.1,-21.4,-25.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,16,香川県<br>高松丸亀町周辺,2.5,-15.6,-34.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,16,愛媛県<br>松山駅周辺,-0.2,-14.1,-20.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,16,高知県<br>はりまや橋周辺,4.3,-22.9,-35.3
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,17,福岡県<br>天神駅周辺,5.5,-40.1,-56.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,2,福岡県<br>天神駅周辺,5.5,-40.1,-56.2
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,17,佐賀県<br>佐賀駅周辺,-0.8,-15.8,-22.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,17,長崎県<br>長崎駅周辺,0.1,-25.9,-45.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,17,熊本県<br>通町筋周辺,2.8,-14.9,-33.4
NTTドコモ「モバイル空間統計」分析レポート,2020-04-24,17,大分県<br>大分駅付近周辺,-2.8,-16.7,-36.9
